region_country,name
Bolivia (Plurin. State of),Bolivia
British Indian Ocean Terr.,India
Brunei Darussalam,Brunei
"China, Hong Kong SAR",China
"China, Macao SAR",China
Dem. Rep. of the Congo,Dem. Rep. Congo
Congo,Congo
Equatorial Guinea,Eq. Guinea
Iran (Islamic Republic of),Iran
Netherlands Antilles [former],Netherlands
North Macedonia,Macedonia
Republic of Moldova,Moldova
Russian Federation,Russia
South Sudan,S. Sudan
State of Palestine,Palestine
Syrian Arab Republic,Syria
United Rep. of Tanzania,Tanzania
Venezuela (Boliv. Rep. of),Venezuela
Cyprus,N. Cyprus
Central African Republic,Central African Rep.
Dominican Republic,Dominican Rep.
Western Sahara,W. Sahara
Falkland Islands (Malvinas),Falkland Is.
Lao People's Dem. Rep.,Laos
Viet Nam,Vietnam
Dem. People's Rep. Korea,North Korea
Republic of Korea,South Korea
Solomon Islands,Solomon Is.
Bosnia and Herzegovina,Bosnia and Herz.
